eval_loss,eval_matthews_correlation,eval_ece,eval_hyper_B_std,eval_hyper_B_mean,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
nan,0.0,0.0,nan,nan,15.7513,66.217,2.095,16.56822429906542
nan,0.0,0.0,nan,nan,15.7338,66.29,2.097,16.717757009345796
nan,0.0,0.0,nan,nan,15.7665,66.153,2.093,16.867289719626168
nan,0.0,0.0,nan,nan,15.9063,65.571,2.075,17.014953271028038
nan,0.0,0.0,nan,nan,15.974,65.294,2.066,17.16448598130841
nan,0.0,0.0,nan,nan,16.0739,64.888,2.053,17.314018691588785
nan,0.0,0.0,nan,nan,15.9872,65.24,2.064,17.463551401869157
nan,0.0,0.0,nan,nan,15.8617,65.756,2.08,17.613084112149533
nan,0.0,0.0,nan,nan,15.7806,66.094,2.091,17.762616822429905
nan,0.0,0.0,nan,nan,15.6887,66.481,2.103,17.91214953271028
nan,0.0,0.0,nan,nan,15.8029,66.001,2.088,18.05981308411215
nan,0.0,0.0,nan,nan,15.6944,66.457,2.103,18.209345794392522
nan,0.0,0.0,nan,nan,15.84,65.846,2.083,18.358878504672898
nan,0.0,0.0,nan,nan,15.9259,65.491,2.072,18.50841121495327
nan,0.0,0.0,nan,nan,15.95,65.392,2.069,18.657943925233646
nan,0.0,0.0,nan,nan,16.0442,65.008,2.057,18.807476635514018
nan,0.0,0.0,nan,nan,16.0818,64.856,2.052,18.957009345794393
nan,0.0,0.0,nan,nan,15.988,65.236,2.064,19.104672897196263
nan,0.0,0.0,nan,nan,15.9481,65.4,2.069,19.254205607476635
nan,0.0,0.0,nan,nan,15.7889,66.059,2.09,19.40373831775701
nan,0.0,0.0,nan,nan,15.7576,66.19,2.094,19.553271028037383
nan,0.0,0.0,nan,nan,15.6748,66.54,2.105,19.70280373831776
nan,0.0,0.0,nan,nan,15.7286,66.312,2.098,19.85233644859813
nan,0.0,0.0,nan,nan,15.6954,66.452,2.103,20.0
